# ANNOTATIONS
uid,text,annotation_type,start_offset,end_offset,color,source,confidence
81ed9c0e-ec81-42e1-9937-5cdb0941715a,),PUNCT,2014,2015,#9E9E9E,multilevel_nlp,1
a6c493fa-42c9-4327-bc3f-e5aeff60cde8,research,ENTITY,2016,2024,#795548,multilevel_nlp,1
6638258f-d71c-4ac0-a54e-bb1e302f72e3,research,NOUN,2016,2024,#4CAF50,multilevel_nlp,1
bd6d0ea7-4a62-4288-a907-0527dc2e65cc,has,AUX,2025,2028,#3F51B5,multilevel_nlp,1
53d9f7ab-10b9-47ef-8224-29146a24ff35,generated,VERB,2029,2038,#2196F3,multilevel_nlp,1
5fe633d6-3c0d-4920-bd69-c0c7291460d6,a,DET,2039,2040,#795548,multilevel_nlp,1
6477f5e8-7fdc-4b4a-b523-25fee7a5f4a8,rich,ADJ,2041,2045,#FF9800,multilevel_nlp,1
b38da62d-158c-4b32-bbd7-10c5305854cd,and,CCONJ,2046,2049,#9E9E9E,multilevel_nlp,1
bf659775-1cfd-4324-b0cf-235ee091d010,complex body,ENTITY,2050,2062,#795548,multilevel_nlp,1
d282ab36-8002-4d09-ae64-748fafd9d67e,complex,ADJ,2050,2057,#FF9800,multilevel_nlp,1
6ca9c009-a79c-453b-9da3-8b493f452fa0,body,NOUN,2058,2062,#4CAF50,multilevel_nlp,1
d3daa6b1-911c-4f12-8745-b0849a5a1381,of,ADP,2063,2065,#607D8B,multilevel_nlp,1
964fe445-d324-4d0d-b709-16b091383389,knowledge,NOUN,2066,2075,#4CAF50,multilevel_nlp,1
e5316786-a96d-4764-af77-a40fbc14d617,knowledge,ENTITY,2066,2075,#795548,multilevel_nlp,1
6ac592a9-1c54-4246-8a47-cc888b463930,",",PUNCT,2075,2076,#9E9E9E,multilevel_nlp,1
6629cbbc-fbbd-4fd4-b72e-94e95b93f0ca,revealing,VERB,2077,2086,#2196F3,multilevel_nlp,1
edc0c6b8-a716-446c-8cb6-71c4c168ba5e,PD,NOUN,2087,2089,#4CAF50,multilevel_nlp,1
4ba19a24-307e-451f-9bfa-77db56096d31,PD,ENTITY,2087,2089,#795548,multilevel_nlp,1
b62787b2-c097-4f98-bd43-92bfa37ae85c,to,PART,2090,2092,#9E9E9E,multilevel_nlp,1
af0009f1-977c-482b-9ea9-dfbfdadc6adc,be,AUX,2093,2095,#3F51B5,multilevel_nlp,1
eb9aa15d-2c26-4b6a-9557-54459734dbdd,an,DET,2096,2098,#795548,multilevel_nlp,1
2ae20bda-801c-45aa-8433-ce2b391f18c9,age-related,ADJ,2099,2110,#FF9800,multilevel_nlp,1
6ff19e1e-a36e-4934-ad7a-c314159cb9df,multifactorial,ADJ,2111,2125,#FF9800,multilevel_nlp,1
d9f57530-b466-47c5-b6d6-ffed9cd4fc03,disease,NOUN,2126,2133,#4CAF50,multilevel_nlp,1
9a4fe1f7-16d5-4317-800c-ad35856326f7,",",PUNCT,2133,2134,#9E9E9E,multilevel_nlp,1
2ff95caa-c6e9-41a3-bcb7-06486bd3fe04,influenced,VERB,2135,2145,#2196F3,multilevel_nlp,1
b4794add-703f-4882-ba4b-997e345099fe,by,ADP,2146,2148,#607D8B,multilevel_nlp,1
63f7d8e2-1421-4c3b-93a8-ecd3b3a56224,both,CCONJ,2149,2153,#9E9E9E,multilevel_nlp,1
6c325722-fbf2-4b3c-bbdb-188734599f05,genetic,ADJ,2154,2161,#FF9800,multilevel_nlp,1
c13d5bab-abde-460d-b611-23f63dacd00f,genetic,ENTITY,2154,2161,#795548,multilevel_nlp,1
ccdaec10-105c-4690-8797-e3196b98338e,and,CCONJ,2162,2165,#9E9E9E,multilevel_nlp,1
a596977d-e588-4142-8326-ac5bf034cd18,environmental factors,ENTITY,2166,2187,#795548,multilevel_nlp,1
f4227cbc-4256-40c9-9f43-2f341e384fe5,environmental,ADJ,2166,2179,#FF9800,multilevel_nlp,1
41a66900-e4fa-4251-9af1-e6128b923f75,factors,NOUN,2180,2187,#4CAF50,multilevel_nlp,1
20e75ae0-b0fc-4acf-b023-b026779220ab,.,PUNCT,2187,2188,#9E9E9E,multilevel_nlp,1
4560343419ad4fcc9f51eb6fa94ebc3c,"The tremendous complexity of the disease is increased by a nonlinear progression of the pathogenesis between molecular, cellular and organic systems.",Фрагмент ведёт к неуспеху,2189,2338,#EF9A9A,user,0.82
caaa144c-df07-4e8e-b82f-6b6020e9176c,The,DET,2189,2192,#795548,multilevel_nlp,1
ce4ea54b-66ca-4477-afea-2fbf4a0df273,tremendous,ADJ,2193,2203,#FF9800,multilevel_nlp,1
39ad9b55-df03-461e-b847-bf53b87bf240,complexity,NOUN,2204,2214,#4CAF50,multilevel_nlp,1
0fc2db4e-afed-48ec-a33d-a368214fdd69,of,ADP,2215,2217,#607D8B,multilevel_nlp,1
cf1c61a2-c57f-4b36-bc78-470af6847faf,the,DET,2218,2221,#795548,multilevel_nlp,1
877ccc86-e258-41e6-8d3a-bf4cdc0b6d5c,disease,NOUN,2222,2229,#4CAF50,multilevel_nlp,1
b4fabeb4-0c62-4501-92f9-e01853ffd648,disease,ENTITY,2222,2229,#795548,multilevel_nlp,1
717bc47b-4947-4ef1-a33c-c6a2102e1f5e,is,AUX,2230,2232,#3F51B5,multilevel_nlp,1
26810c7e-6283-4d52-94ed-93b3c17e58ec,increased,VERB,2233,2242,#2196F3,multilevel_nlp,1
ba931839-bbda-41af-bbfe-8f3fbd18f851,increased,ENTITY,2233,2242,#795548,multilevel_nlp,1
c1bb5f4e-014b-405a-a356-9dd18acda6b2,by,ADP,2243,2245,#607D8B,multilevel_nlp,1
3c38ba7b-9f2d-4d4d-bc34-2c622eb2d947,a,DET,2246,2247,#795548,multilevel_nlp,1
19154851-929a-4d77-8e46-f8a4a40a0028,nonlinear,ADJ,2248,2257,#FF9800,multilevel_nlp,1
82fe024e-29e0-4865-bab4-8388f91e3f45,progression,ENTITY,2258,2269,#795548,multilevel_nlp,1
867d8af6-ec47-4ef1-ad51-a2108f04c2bc,progression,NOUN,2258,2269,#4CAF50,multilevel_nlp,1
9e1ab856-12f5-42b7-bb88-6d04afb9b6e9,of,ADP,2270,2272,#607D8B,multilevel_nlp,1
985aefe5-7269-43a2-8daf-a2e5e4cb4e94,the,DET,2273,2276,#795548,multilevel_nlp,1
1cfbc664-21b2-4c10-baf1-af24a621b4c3,pathogenesis,ENTITY,2277,2289,#795548,multilevel_nlp,1
b7b905ec-e000-4465-8eb7-6da639661082,pathogenesis,NOUN,2277,2289,#4CAF50,multilevel_nlp,1
7797ef17-69ca-45be-80b9-67af223e49ba,between,ADP,2290,2297,#607D8B,multilevel_nlp,1
b7125632-554f-4671-8faa-890f3b07dd75,molecular,ENTITY,2298,2307,#795548,multilevel_nlp,1
9ea7e233-35eb-4971-af5e-783a7e701757,molecular,ADJ,2298,2307,#FF9800,multilevel_nlp,1
85d5eb7f-debb-4ab4-bb32-02ff9c7b30bf,",",PUNCT,2307,2308,#9E9E9E,multilevel_nlp,1
1024d31b-86d5-4528-8ab5-dd9a136aaad4,cellular,ADJ,2309,2317,#FF9800,multilevel_nlp,1
0bc7b4d9-223f-4f85-abb1-78fbdac29588,cellular,ENTITY,2309,2317,#795548,multilevel_nlp,1
c9c0a48d-b540-4033-b1a2-d2a188fc5faa,and,CCONJ,2318,2321,#9E9E9E,multilevel_nlp,1
ce02445f-8e21-4c23-bbec-9f292395efe4,organic systems,ENTITY,2322,2337,#795548,multilevel_nlp,1
e1da7c8f-dd92-4c4e-8047-440fb5ef0c52,organic,ADJ,2322,2329,#FF9800,multilevel_nlp,1
d5480e9f-b407-42c4-b6a5-1546fcca96be,systems,NOUN,2330,2337,#4CAF50,multilevel_nlp,1
8bbec494-d221-4a96-83d0-0674013b17b8,.,PUNCT,2337,2338,#9E9E9E,multilevel_nlp,1
b4dcb581af7643758c3ce1cdfc0a5126,"In this minireview, we explore the complexity of PD and propose a systems-based approach, organizing the available information around cellular disease hallmarks.",Успешная цель,2339,2500,#4CAF50,user,0.88
e3646d96-021f-4a9e-a96e-df9e13ac6ec8,In,ADP,2339,2341,#607D8B,multilevel_nlp,1
e54301b8-7976-4732-8839-b6ec06911687,this,DET,2342,2346,#795548,multilevel_nlp,1
35546b26-3426-475a-8dcf-4753bf7c1f9d,minireview,NOUN,2347,2357,#4CAF50,multilevel_nlp,1
f5cbf969-4835-4385-8ec3-05b0260c28c6,",",PUNCT,2357,2358,#9E9E9E,multilevel_nlp,1
1c606719-d24e-43d7-82b1-1f1afd806764,we,PRON,2359,2361,#FFEB3B,multilevel_nlp,1
666e861b-361b-4629-9862-a3506f033f41,explore,VERB,2362,2369,#2196F3,multilevel_nlp,1
b262b96e-61d5-4ff4-80b5-cb52e3fd0879,the,DET,2370,2373,#795548,multilevel_nlp,1
2550382b-f03a-40fa-af4c-e544ef00445e,complexity,NOUN,2374,2384,#4CAF50,multilevel_nlp,1
4f54ac8d-827e-4164-ad19-773f7d0bbb12,complexity,ENTITY,2374,2384,#795548,multilevel_nlp,1
f55b993c-a91e-490b-ad6f-e764ac1d8828,of,ADP,2385,2387,#607D8B,multilevel_nlp,1
d43eada1-b7c9-41b1-93b8-375aba38f1a0,PD,NOUN,2388,2390,#4CAF50,multilevel_nlp,1
b37d218a-096d-4ba8-ba4d-361f941c0210,PD,ENTITY,2388,2390,#795548,multilevel_nlp,1
7fa86b9d-b9a5-496d-bb7c-e071fa6ce72a,and,CCONJ,2391,2394,#9E9E9E,multilevel_nlp,1
74075e35-f211-43fe-84d7-4a2963f596ad,propose,VERB,2395,2402,#2196F3,multilevel_nlp,1
74778e64-a67a-4294-9d67-d84b12733aad,a,DET,2403,2404,#795548,multilevel_nlp,1
1743ebd8-fa52-407e-b2da-ee676fe289fd,systems-based,ADJ,2405,2418,#FF9800,multilevel_nlp,1
af521648-3378-40cc-a25e-436c55f90b20,approach,NOUN,2419,2427,#4CAF50,multilevel_nlp,1
bd0284c9-05e0-4ef1-a50c-27c47288cc01,",",PUNCT,2427,2428,#9E9E9E,multilevel_nlp,1
f26c9d45-84a6-49a6-bf5e-a70b8886c6f8,organizing,VERB,2429,2439,#2196F3,multilevel_nlp,1
1db21c12-8e61-4be6-9d38-a9b235e991aa,the,DET,2440,2443,#795548,multilevel_nlp,1
6cdb75a5-cfed-41e6-aabe-1700b1002b84,available,ADJ,2444,2453,#FF9800,multilevel_nlp,1
28b105ab-f2ee-4de5-ac4e-027a67c3dfc8,information,ENTITY,2454,2465,#795548,multilevel_nlp,1
bf39c89b-f946-4119-b9de-df752590433b,information,NOUN,2454,2465,#4CAF50,multilevel_nlp,1
a405fecb-c788-412e-92ed-ce11fce4ec2f,around,ADP,2466,2472,#607D8B,multilevel_nlp,1
d76ecf7a-ff64-4e82-bc89-af9157ddafb3,cellular disease,ENTITY,2473,2489,#795548,multilevel_nlp,1
6bee54cf-ba64-45ad-a4a7-9f5f36992c81,cellular,ADJ,2473,2481,#FF9800,multilevel_nlp,1
07f38c77-e9c4-4e1f-a167-8d0fd1cf2d49,disease,NOUN,2482,2489,#4CAF50,multilevel_nlp,1
15bb96cc-e6f1-4130-a45a-6737bf7eeeba,hallmarks,NOUN,2490,2499,#4CAF50,multilevel_nlp,1
e7b017e7-99da-4f6b-bc8f-72f81fa72698,.,PUNCT,2499,2500,#9E9E9E,multilevel_nlp,1
8722c0fb6f5543ec8214bf995d0f7258,"We encourage our peers to adopt this cell-based view with the aim of improving communication in interdisciplinary research endeavors targeting the molecular events, modulatory cell-to-cell signaling pathways and emerging clinical phenotypes related to PD.",Успешная цель,2501,2756,#4CAF50,user,0.8
4fea3d5a-4a4f-4eac-a7e3-1b51dbce293b,We,PRON,2501,2503,#FFEB3B,multilevel_nlp,1
53e94a6b-48c2-456a-8f27-38952033a2c9,encourage,VERB,2504,2513,#2196F3,multilevel_nlp,1
80520749-a112-41b4-9cf9-a4558db9c4f5,our,PRON,2514,2517,#FFEB3B,multilevel_nlp,1
ba70f99d-874a-420e-9287-51cd31b20af1,peers,ENTITY,2518,2523,#795548,multilevel_nlp,1
20c45f58-e576-426a-88b0-bfa3181ef1e3,peers,NOUN,2518,2523,#4CAF50,multilevel_nlp,1
ed2aa99b-60c6-426f-a4fc-41cb6599664b,to,PART,2524,2526,#9E9E9E,multilevel_nlp,1
16cde3c5-d0e1-4e28-9487-73bf338356ae,adopt,VERB,2527,2532,#2196F3,multilevel_nlp,1
25b604a6-cf4b-4a49-9d99-88c429074bbb,this,DET,2533,2537,#795548,multilevel_nlp,1
7c355d5e-c555-4067-974e-d1f29c3ec2b2,cell-based view,ENTITY,2538,2553,#795548,multilevel_nlp,1
7681fe55-49f1-466b-bff0-8e0d4dfec856,cell-based,ADJ,2538,2548,#FF9800,multilevel_nlp,1
ba902aae-17f7-4867-bbc7-1fe9d11b82c3,view,NOUN,2549,2553,#4CAF50,multilevel_nlp,1
3420616f-16cc-4e76-ab4e-dcf0b5052d52,with,ADP,2554,2558,#607D8B,multilevel_nlp,1
804589c2-b5c0-47ac-90ed-02d0d9fdfccd,the,DET,2559,2562,#795548,multilevel_nlp,1
1386fc3d-a226-4711-9bc3-e430d27bf8f5,aim,NOUN,2563,2566,#4CAF50,multilevel_nlp,1
b4587e8a-12a1-4032-8cae-d15c5ba2aafa,of,ADP,2567,2569,#607D8B,multilevel_nlp,1
e262c546-4d47-4c8b-8745-77020942326a,improving,ENTITY,2570,2579,#795548,multilevel_nlp,1
32d2a604-7ad7-4269-a109-dc850cd535b3,improving,VERB,2570,2579,#2196F3,multilevel_nlp,1
fd0b234d-84bb-49f4-84dd-bc86882a3b92,communication,NOUN,2580,2593,#4CAF50,multilevel_nlp,1
b93cd00d-8de4-414b-9424-94ec37125e83,communication,ENTITY,2580,2593,#795548,multilevel_nlp,1
7f09d25b-ae09-4b71-9977-42882cd53d88,in,ADP,2594,2596,#607D8B,multilevel_nlp,1
1f32c315-162c-43ab-ad16-cf30ee272876,interdisciplinary research endeavors,ENTITY,2597,2633,#795548,multilevel_nlp,1
852d258b-e667-49f8-9b65-cd9b37ae2200,interdisciplinary,ADJ,2597,2614,#FF9800,multilevel_nlp,1
87de74c1-a7c2-49e9-9416-b375527364c7,research,NOUN,2615,2623,#4CAF50,multilevel_nlp,1
acb57040-479a-49df-a64a-29ee08355999,endeavors,NOUN,2624,2633,#4CAF50,multilevel_nlp,1
eb5e079b-105e-48c3-94e8-133e8d511296,targeting,VERB,2634,2643,#2196F3,multilevel_nlp,1
1c1b3732-8f4a-4752-85c3-d8556ffe96d9,targeting,ENTITY,2634,2643,#795548,multilevel_nlp,1
4369d8a8-7776-4189-9318-f5dc8e46ac69,the,DET,2644,2647,#795548,multilevel_nlp,1
5691cc7d-3f88-499a-ada0-9349290748ad,molecular events,ENTITY,2648,2664,#795548,multilevel_nlp,1
e34d108c-f47c-445e-9ed7-2d79ae72a287,molecular,ADJ,2648,2657,#FF9800,multilevel_nlp,1
55e6bccd-3d58-4fa9-ae90-72a6e92e2309,events,NOUN,2658,2664,#4CAF50,multilevel_nlp,1
44f0f51c-f9a8-49ce-843c-edac90b7aa6f,",",PUNCT,2664,2665,#9E9E9E,multilevel_nlp,1
17d3f4fb-bc35-446a-9517-550897ef630f,modulatory,ADJ,2666,2676,#FF9800,multilevel_nlp,1
52c21276-24bb-4455-b8d5-531235db6b02,modulatory cell-to-cell signaling pathways,ENTITY,2666,2708,#795548,multilevel_nlp,1
505bf991-cb5f-4573-b159-41aaa9a44bbe,cell-to-cell,ADJ,2677,2689,#FF9800,multilevel_nlp,1
73c64551-f2de-4000-a4dc-70838da077f4,signaling,NOUN,2690,2699,#4CAF50,multilevel_nlp,1
a502f0fd-5588-4194-8c14-1d3318e29278,pathways,NOUN,2700,2708,#4CAF50,multilevel_nlp,1
c5b3169f-983a-4a7a-9046-bd45fab4dfbc,and,CCONJ,2709,2712,#9E9E9E,multilevel_nlp,1
e208b13f-87be-4182-a9e4-b6a571cb1c9f,emerging,VERB,2713,2721,#2196F3,multilevel_nlp,1
7ba4ddb8-eb4c-4077-8d81-5b74c25f6f3f,clinical,ADJ,2722,2730,#FF9800,multilevel_nlp,1
342e7931-d0d2-46e5-b127-85b963757176,clinical,ENTITY,2722,2730,#795548,multilevel_nlp,1
f7b148fc-001a-4016-9f68-e53873ec9ebf,phenotypes,ENTITY,2731,2741,#795548,multilevel_nlp,1
a1b6e26f-17f8-4b15-a046-1463ec6db133,phenotypes,NOUN,2731,2741,#4CAF50,multilevel_nlp,1
9227cd4a-0f7d-4f0f-89bf-df4d38bdaf9a,related,ADJ,2742,2749,#FF9800,multilevel_nlp,1
aac470c9-c2b4-4a9e-a8b4-5b909db18200,to,PART,2750,2752,#9E9E9E,multilevel_nlp,1
9904908f-919e-4546-8203-151acc8724a6,PD,NOUN,2753,2755,#4CAF50,multilevel_nlp,1
e8281e8c-0e24-4d34-9e71-3ed31e8441e1,PD,ENTITY,2753,2755,#795548,multilevel_nlp,1
e684eb09-27b4-44ca-980f-4ceb5157aa93,.,PUNCT,2755,2756,#9E9E9E,multilevel_nlp,1
3e20c7ac-01ab-440c-958b-fcb38369343b,#,PUNCT,2758,2759,#9E9E9E,multilevel_nlp,1
a815bf99-89ce-4e21-86f2-8ddf5db102d1,#,PUNCT,2759,2760,#9E9E9E,multilevel_nlp,1
66d1a1b0-27f6-45a5-a4e8-571c46963f34,Introduction,NOUN,2761,2773,#4CAF50,multilevel_nlp,1
a9b2c995-472d-4559-812e-5fb7cae47b4f,Idiopathic,ADJ,2775,2785,#FF9800,multilevel_nlp,1
e0c7af63-afeb-4dff-b72d-a6c43f9638fa,Idiopathic Parkinson 's disease,ENTITY,2775,2805,#795548,multilevel_nlp,1
8d396a35-1a4d-4dc0-ad61-880dcfac7b61,Parkinson,NOUN,2786,2795,#4CAF50,multilevel_nlp,1
6811084d-c9d6-4e29-ae58-b697fa0cbdd4,'s,PART,2795,2797,#9E9E9E,multilevel_nlp,1
9bf807eb-56b5-4f98-97a1-23282ffc9831,disease,NOUN,2798,2805,#4CAF50,multilevel_nlp,1
218324f0-2f7b-4962-b5d7-3c7ae80814b0,(,PUNCT,2806,2807,#9E9E9E,multilevel_nlp,1
2a39f7e0-f630-4c40-99f2-8be2497f76d3,IPD,NOUN,2807,2810,#4CAF50,multilevel_nlp,1
71871e1c-2779-4476-8513-3c9301840e1f,IPD,ENTITY,2807,2810,#795548,multilevel_nlp,1
d494b2df-ec4e-41fd-9515-80ef4b2a67dd,),PUNCT,2810,2811,#9E9E9E,multilevel_nlp,1
d446e901-20db-483d-8864-5ae16cbda13c,is,AUX,2812,2814,#3F51B5,multilevel_nlp,1
945fcb6c-e010-44ac-8011-0aa9b5714beb,the,DET,2815,2818,#795548,multilevel_nlp,1
acbf7976-4190-4639-bf2b-983968781c0d,second,ADJ,2819,2825,#FF9800,multilevel_nlp,1
f0c3ba91-2da2-46fa-b505-c8ca6f6d0d01,most,ADV,2826,2830,#9C27B0,multilevel_nlp,1
9fa95f24-1f87-4a3b-a882-57faebdab1d1,common,ADJ,2831,2837,#FF9800,multilevel_nlp,1
5621d958-e6ec-44fe-aaa1-5c40d7ff7e55,neurodegenerative disease,ENTITY,2838,2863,#795548,multilevel_nlp,1
33875244-8af5-41f8-85e0-3f98a52d0c23,neurodegenerative,ADJ,2838,2855,#FF9800,multilevel_nlp,1
a4f9584a-ff5e-4413-bf1a-d62f32f7d326,disease,NOUN,2856,2863,#4CAF50,multilevel_nlp,1
193e5413-cf57-4919-a665-299304bf1b47,after,ADP,2864,2869,#607D8B,multilevel_nlp,1
2e6c6d01-906e-4616-8e51-36b0787d3562,Alzheimer,NOUN,2870,2879,#4CAF50,multilevel_nlp,1
5aefc167-86db-4ca4-b2b8-cf6a9c2cd7a2,Alzheimer 's disease,ENTITY,2870,2889,#795548,multilevel_nlp,1
6e41fcd6-2e6b-48b7-841d-09c9abb2cc02,'s,PART,2879,2881,#9E9E9E,multilevel_nlp,1
e92d1f20-7c7f-40b7-9ead-eecb6da63aa6,disease,NOUN,2882,2889,#4CAF50,multilevel_nlp,1
25543b68-5484-4e65-8527-c1b93e7c99fc,",",PUNCT,2889,2890,#9E9E9E,multilevel_nlp,1
6d8a6aa8-d4ad-4e85-85f0-8c42c6b9bb55,and,CCONJ,2891,2894,#9E9E9E,multilevel_nlp,1
fc9c3290-e615-44b1-a9ba-b05549e3b570,affects,VERB,2895,2902,#2196F3,multilevel_nlp,1
0ab07a91-47a9-4598-9f4f-984d65214e11,populations,ENTITY,2903,2914,#795548,multilevel_nlp,1
331df9e6-ccb0-40b2-930a-e09d57e859c3,populations,NOUN,2903,2914,#4CAF50,multilevel_nlp,1
fc5aecd0-4254-4bc3-8e8a-cda105aac43a,worldwide,ADV,2915,2924,#9C27B0,multilevel_nlp,1
95a27cb3-1c12-4f6e-9b09-7de5cb9eb13d,.,PUNCT,2924,2925,#9E9E9E,multilevel_nlp,1
0ca02ae3-263e-4f0f-bbb1-fa14b92db5eb,The,DET,2926,2929,#795548,multilevel_nlp,1
a732895b-cbcf-4f80-ad39-9f9c92d61c10,clinical syndrome,ENTITY,2930,2947,#795548,multilevel_nlp,1
f93e6144-e249-4734-80d6-785aaf882f0b,clinical,ADJ,2930,2938,#FF9800,multilevel_nlp,1
98e46f06-804a-40ab-a837-35024dd308de,syndrome,NOUN,2939,2947,#4CAF50,multilevel_nlp,1
e08d9d82-788f-43ad-89d9-d2ea18a62047,of,ADP,2948,2950,#607D8B,multilevel_nlp,1
9375f6e4-6606-4c4c-be02-69864c53655b,IPD,NOUN,2951,2954,#4CAF50,multilevel_nlp,1
e6a05727-32b6-4c8e-98b6-c119e64899e5,IPD,ENTITY,2951,2954,#795548,multilevel_nlp,1
91e6c37f-895e-495a-919e-ff139618606a,is,AUX,2955,2957,#3F51B5,multilevel_nlp,1
fb3c3c2b-3b7a-4ffa-9322-ce2c39b5a7d7,characterized,VERB,2958,2971,#2196F3,multilevel_nlp,1
823e4bec-9d66-42b3-b089-59a62c12198f,by,ADP,2972,2974,#607D8B,multilevel_nlp,1
415ae1f6-5d2f-4a33-9eb0-6791825668b9,bradykinesia,NOUN,2975,2987,#4CAF50,multilevel_nlp,1
83d064c3-af91-484e-863c-9e5bbcec0d2f,bradykinesia,ENTITY,2975,2987,#795548,multilevel_nlp,1
38e3ecd0-b3a8-467b-b79c-0224e08d8d8e,",",PUNCT,2987,2988,#9E9E9E,multilevel_nlp,1
262f2931-445f-4767-9e9b-610ee797e8dc,resting tremor,ENTITY,2989,3003,#795548,multilevel_nlp,1
6adf952e-0957-44d6-a4cb-382f9e8db1cb,resting,VERB,2989,2996,#2196F3,multilevel_nlp,1
3b20349f-0014-41f5-9135-920c45c609aa,tremor,NOUN,2997,3003,#4CAF50,multilevel_nlp,1
0f0e7988-33cb-429f-9bb9-09a69c705426,",",PUNCT,3003,3004,#9E9E9E,multilevel_nlp,1
22085814-f971-4008-a3a9-15658f54d88e,rigidity,NOUN,3005,3013,#4CAF50,multilevel_nlp,1
a578e226-dcf2-4bfd-a79c-46684ddd3997,rigidity,ENTITY,3005,3013,#795548,multilevel_nlp,1
fa70b851-18d9-4c58-903f-b0dd5b2989f4,",",PUNCT,3013,3014,#9E9E9E,multilevel_nlp,1
f1478df5-a4aa-41a1-a4f1-4399c3f4dd85,and,CCONJ,3015,3018,#9E9E9E,multilevel_nlp,1
